want 1134 MSA files (0 already present)
archive 107.2 GB, 48 workers
  [m44] + 7su9_e.npz (1 KB)
  [m38] + 6xqa_c.npz (1 KB)
  [m29] + 1rjz_c.npz (1 KB)
  [m21] + 8tuh_c.npz (1 KB)
  [m4] + 5eu3_c.npz (1 KB)
  [m27] + 4e0r_a.npz (1011 KB)
  [m19] + 3o3d_c.npz (1 KB)
  [m35] + 3mrn_c.npz (1 KB)
  [m11] + 6uzo_a.npz (1005 KB)
  [m30] + 5e8p_c.npz (1 KB)
  [m12] + 3vfn_a.npz (998 KB)
  [m11] + 6l9n_c.npz (1 KB)
  [m24] + 1ffp_c.npz (1 KB)
  [m44] + 6ilf_c.npz (1 KB)
  [m3] + 5vud_c.npz (1 KB)
  [m41] + 5gsb_c.npz (1 KB)
  [m23] + 6vb2_c.npz (1 KB)
  [m43] + 6vb3_a.npz (1000 KB)
  [m40] + 4d0b_c.npz (1 KB)
  [m37] + 1age_c.npz (1 KB)
  [m44] + 5e00_c.npz (1 KB)
  [m34] + 5fa4_c.npz (1 KB)
  [m45] + 5nq3_c.npz (1 KB)
  [m45] + 3lv3_c.npz (1 KB)
  [m47] + 7ji2_a.npz (995 KB)
  [m41] + 5wmn_e.npz (1 KB)
  [m3] + 7m8u_a.npz (1017 KB)
  [m32] + 3kyn_a.npz (940 KB)
  [m40] + 7mj8_c.npz (1 KB)
  [m28] + 1vad_a.npz (970 KB)
  [m27] + 5t7g_c.npz (1 KB)
  [m16] + 7ejn_c.npz (1 KB)
  [m12] + 1rjy_a.npz (994 KB)
  [m18] + 5weu_c.npz (1 KB)
  [m24] + 6ewo_c.npz (1 KB)
  [m32] + 3tbw_i.npz (1 KB)
  [m28] + 3ln4_a.npz (984 KB)
  [m31] + 8d5k_a.npz (981 KB)
  [m2] + 3ln5_c.npz (1 KB)
  [m38] + 6irl_a.npz (1028 KB)
  [m42] + 1t0n_a.npz (988 KB)
  [m30] + 3rol_e.npz (1 KB)
  [m37] + 7kgt_c.npz (1 KB)
  [m40] + 2axf_c.npz (1 KB)
  [m1] + 3rwj_c.npz (1 KB)
  [m6] + 7rzd_a.npz (978 KB)
  [m19] + 6jp3_a.npz (996 KB)
  [m1] + 8emi_c.npz (1 KB)
  [m23] + 8e2z_c.npz (1 KB)
  [m9] + 3e6h_c.npz (1 KB)
  [m28] + 1qqd_a.npz (984 KB)
  [m37] + 5iue_b.npz (239 KB)
  [m47] + 2hjl_c.npz (1 KB)
  [m15] + 1a1n_a.npz (1000 KB)
  [m3] + 3x14_a.npz (992 KB)
  [m1] + 7lfi_c.npz (1 KB)
  [m46] + 2zol_e.npz (1 KB)
  [m39] + 3gsu_c.npz (1 KB)
